"src_subject_id","key_press","reward_type"
"30009","1",0
"30009","2",1
"30009","3",0
"30009","2",1
"30009","2",1
"30009","2",1
"30009","2",1
"30009","2",1
"30009","2",1
"30009","2",1
"30009","2",1
"30009","2",0
"30009","3",1
"30009","3",1
"30009","3",0
"30009","1",0
"30009","2",0
"30009","3",1
"30009","3",0
"30009","1",1
"30009","1",0
"30009","2",1
"30009","2",0
"30009","3",1
"30009","3",1
"30009","3",1
"30009","3",1
"30009","3",1
"30009","3",1
"30009","3",0
"30009","1",0
"30009","2",1
"30009","2",0
"30009","3",1
"30009","3",1
"30009","3",1
"30009","3",1
"30009","3",1
"30009","3",1
"30009","3",1
"30009","1",1
"30009","1",1
"30009","1",1
"30009","1",0
"30009","2",0
"30009","3",0
"30009","1",1
"30009","1",0
"30009","1",1
"30009","1",1
"30009","1",1
"30009","1",1
"30009","1",1
"30009","1",1
"30009","1",1
"30009","1",0
"30009","1",0
"30009","2",0
"30009","3",1
"30009","1",0
"30009","3",1
"30009","3",1
"30009","3",1
"30009","3",1
"30009","3",1
"30009","3",1
"30009","3",1
"30009","1",0
"30009","3",1
"30009","3",1
"30009","3",1
"30009","3",1
"30009","3",1
"30009","3",1
"30009","3",0
"30009","3",1
"30009","3",0
"30009","2",0
"30009","1",1
"30009","1",1
"30009","1",0
"30009","2",0
"30009","3",0
"30009","3",0
"30009","2",1
"30009","2",0
"30009","1",0
"30009","2",1
"30009","2",1
"30009","2",1
"30009","2",1
"30009","2",1
"30009","2",1
"30009","2",1
"30009","2",0
"30009","3",0
"30009","1",1
"30009","2",0
"30009","2",0
"30009","1",1
"30009","1",0
"30009","3",0
"30009","1",1
"30009","1",1
"30009","1",1
"30009","1",0
"30009","2",0
"30009","1",1
"30009","1",1
"30009","1",1
"30009","1",1
"30009","2",0
"30009","2",0
"30009","1",1
"30009","1",0
"30009","3",0
"30009","1",1
"30009","2",0
"30009","1",1
"30009","1",1
"30009","2",0
"30009","1",0
"30009","3",1
"30009","3",1
"30009","3",1
"30009","3",1
"30009","3",1
"30009","3",1
"30009","2",0
"30009","3",0
"30009","1",0
"30009","2",0
"30009","3",1
"30009","3",1
"30009","3",0
"30009","1",1
"30009","1",0
"30009","1",0
"30009","1",1
"30009","1",0
"30009","3",1
"30009","2",1
"30009","2",0
"30009","3",1
"30009","3",1
"30009","2",0
"30009","1",0
"30009","3",0
"30009","1",0
"30009","2",1
"30009","2",0
"30009","2",1
"30009","3",1
"30009","2",0
"30009","1",0
"30009","1",0
"30009","2",0
"30009","3",1
"30009","3",0
"30009","3",1
