"src_subject_id","key_press","reward_type"
"50228","2",0
"50228","1",0
"50228","2",1
"50228","2",0
"50228","3",0
"50228","1",1
"50228","3",0
"50228","2",0
"50228","2",0
"50228","1",1
"50228","1",1
"50228","3",0
"50228","1",1
"50228","1",1
"50228","1",1
"50228","1",1
"50228","1",1
"50228","1",1
"50228","1",1
"50228","1",0
"50228","1",1
"50228","1",1
"50228","1",1
"50228","1",0
"50228","1",1
"50228","1",0
"50228","1",0
"50228","2",1
"50228","2",1
"50228","2",1
"50228","2",1
"50228","2",1
"50228","2",1
"50228","2",1
"50228","2",1
"50228","2",1
"50228","2",0
"50228","2",0
"50228","2",1
"50228","2",0
"50228","1",0
"50228","1",0
"50228","3",1
"50228","3",0
"50228","3",1
"50228","3",1
"50228","3",0
"50228","3",1
"50228","3",1
"50228","3",1
"50228","3",1
"50228","3",0
"50228","2",0
"50228","3",1
"50228","3",0
"50228","1",0
"50228","3",0
"50228","3",0
"50228","2",1
"50228","2",1
"50228","2",1
"50228","2",1
"50228","2",1
"50228","2",1
"50228","3",1
"50228","2",1
"50228","2",1
"50228","2",1
"50228","2",0
"50228","2",1
"50228","2",1
"50228","2",1
"50228","3",1
"50228","2",1
"50228","2",0
"50228","3",1
"50228","3",1
"50228","3",1
"50228","3",1
"50228","3",1
"50228","3",0
"50228","3",0
"50228","1",1
"50228","1",0
"50228","1",0
"50228","2",0
"50228","1",1
"50228","1",1
"50228","1",1
"50228","1",1
"50228","1",1
"50228","1",1
"50228","2",0
"50228","1",0
"50228","1",0
"50228","3",0
"50228","1",1
"50228","1",0
"50228","1",0
"50228","2",0
"50228","1",0
"50228","1",0
"50228","3",1
"50228","3",1
"50228","3",0
"50228","2",0
"50228","2",0
"50228","3",1
"50228","3",1
"50228","3",1
"50228","3",1
"50228","3",1
"50228","3",1
"50228","3",0
"50228","3",1
"50228","3",1
"50228","3",1
"50228","3",0
"50228","3",0
"50228","1",0
"50228","3",0
"50228","1",1
"50228","1",0
"50228","1",1
"50228","1",0
"50228","1",0
"50228","2",1
"50228","2",1
"50228","2",1
"50228","2",1
"50228","2",1
"50228","2",1
"50228","2",1
"50228","2",1
"50228","2",1
"50228","2",0
"50228","3",1
"50228","3",1
"50228","3",1
"50228","3",1
"50228","3",1
"50228","3",0
"50228","2",0
"50228","3",1
"50228","3",1
"50228","3",0
"50228","3",0
"50228","2",0
"50228","3",1
"50228","3",1
"50228","3",0
"50228","1",0
"50228","3",0
"50228","3",0
"50228","2",0
"50228","3",0
"50228","1",0
"50228","2",1
"50228","2",1
"50228","2",1
