"src_subject_id","key_press","reward_type"
"20716","1",0
"20716","2",0
"20716","3",0
"20716","1",0
"20716","2",0
"20716","1",0
"20716","3",1
"20716","3",1
"20716","3",1
"20716","3",1
"20716","3",1
"20716","3",1
"20716","3",1
"20716","3",1
"20716","3",1
"20716","3",0
"20716","2",1
"20716","2",1
"20716","2",1
"20716","2",1
"20716","2",1
"20716","2",1
"20716","2",1
"20716","2",1
"20716","2",1
"20716","2",0
"20716","1",0
"20716","3",1
"20716","3",0
"20716","1",0
"20716","3",0
"20716","2",1
"20716","2",1
"20716","2",0
"20716","3",1
"20716","3",1
"20716","3",1
"20716","3",1
"20716","3",1
"20716","3",1
"20716","3",0
"20716","2",1
"20716","2",1
"20716","2",1
"20716","2",1
"20716","2",1
"20716","2",1
"20716","2",0
"20716","3",0
"20716","1",0
"20716","2",1
"20716","2",1
"20716","2",1
"20716","2",1
"20716","2",1
"20716","2",1
"20716","2",1
"20716","2",1
"20716","2",1
"20716","2",0
"20716","3",1
"20716","3",1
"20716","3",1
"20716","3",1
"20716","3",1
"20716","3",1
"20716","3",1
"20716","3",1
"20716","3",1
"20716","3",0
"20716","2",0
"20716","3",1
"20716","3",1
"20716","3",0
"20716","2",0
"20716","3",0
"20716","1",1
"20716","1",1
"20716","1",1
"20716","1",1
"20716","1",1
"20716","1",0
"20716","2",1
"20716","2",0
"20716","3",0
"20716","1",1
"20716","1",1
"20716","1",0
"20716","2",1
"20716","2",1
"20716","2",0
"20716","3",0
"20716","1",0
"20716","2",1
"20716","2",1
"20716","2",1
"20716","3",0
"20716","2",0
"20716","1",0
"20716","2",1
"20716","2",0
"20716","2",0
"20716","3",0
"20716","1",0
"20716","2",1
"20716","2",1
"20716","2",1
"20716","2",0
"20716","3",0
"20716","1",1
"20716","1",0
"20716","2",1
"20716","2",1
"20716","2",1
"20716","2",1
"20716","2",0
"20716","2",1
"20716","2",1
"20716","2",1
"20716","2",1
"20716","1",1
"20716","1",1
"20716","1",1
"20716","1",0
"20716","1",0
"20716","3",1
"20716","3",1
"20716","3",1
"20716","3",1
"20716","3",0
"20716","2",0
"20716","1",1
"20716","1",1
"20716","1",1
"20716","1",1
"20716","1",0
"20716","3",1
"20716","3",1
"20716","3",0
"20716","1",1
"20716","1",0
"20716","2",0
"20716","3",1
"20716","3",1
"20716","3",1
"20716","3",1
"20716","3",1
"20716","3",0
"20716","2",0
"20716","1",1
"20716","1",1
"20716","1",1
"20716","1",0
"20716","3",1
"20716","2",0
"20716","3",1
"20716","3",0
"20716","1",1
"20716","1",0
"20716","2",1
