"src_subject_id","key_press","reward_type"
"20669","2",1
"20669","1",1
"20669","3",0
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",0
"20669","1",1
"20669","1",0
"20669","3",0
"20669","3",0
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",0
"20669","2",0
"20669","2",1
"20669","2",0
"20669","2",0
"20669","2",0
"20669","1",0
"20669","2",1
"20669","2",1
"20669","2",0
"20669","3",1
"20669","2",0
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",0
"20669","3",0
"20669","3",1
"20669","2",0
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",0
"20669","1",0
"20669","1",1
"20669","2",0
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",0
"20669","3",0
"20669","2",0
"20669","2",1
"20669","2",0
"20669","1",1
"20669","2",0
"20669","3",1
"20669","2",0
"20669","2",0
"20669","2",0
"20669","2",0
"20669","1",0
"20669","2",0
"20669","3",1
"20669","2",1
"20669","2",0
"20669","2",0
"20669","1",0
"20669","1",1
"20669","2",0
"20669","2",0
"20669","2",0
"20669","2",0
"20669","2",0
"20669","2",1
"20669","2",0
"20669","2",0
"20669","3",1
"20669","3",0
"20669","2",0
"20669","3",0
"20669","2",1
"20669","2",0
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",0
"20669","2",0
"20669","2",0
"20669","2",0
"20669","3",0
"20669","2",1
"20669","2",0
"20669","3",0
"20669","2",0
"20669","2",0
"20669","3",1
"20669","2",0
"20669","2",0
"20669","1",1
"20669","1",1
"20669","1",1
"20669","1",1
"20669","1",1
"20669","1",1
"20669","1",1
"20669","1",0
"20669","2",1
"20669","1",0
"20669","2",0
"20669","1",0
"20669","1",1
"20669","2",0
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",0
"20669","1",0
"20669","3",0
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",1
"20669","2",0
"20669","2",0
"20669","3",1
"20669","2",0
"20669","3",0
"20669","3",1
"20669","3",1
"20669","3",1
"20669","3",0
"20669","3",1
"20669","3",1
"20669","3",1
"20669","3",0
"20669","3",0
"20669","3",0
"20669","3",1
"20669","3",0
"20669","3",0
"20669","3",0
"20669","3",0
"20669","3",0
"20669","3",0
